"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 16 19:08:07 IST 2022","Wed Feb 16 19:08:11 IST 2022","4487","TestCases","test_LoginPage","Test_Login","","","test_login[chrome]",""
"passed","Wed Feb 16 19:08:18 IST 2022","Wed Feb 16 19:08:25 IST 2022","6395","TestCases","test_LoginPage","Test_Login","","","test_verifyHomePageTitle[chrome]",""
